Date,Open,High,Low,Close,Adj Close,Volume
2017-07-25,6.360000,6.360000,6.360000,6.360000,6.360000,0
2017-07-26,6.360000,6.360000,6.360000,6.360000,6.360000,0
2017-07-27,6.360000,6.360000,6.360000,6.360000,6.360000,0
2017-07-28,6.360000,6.360000,6.360000,6.360000,6.360000,0
2017-07-31,6.360000,6.360000,6.360000,6.360000,6.360000,0
2017-08-01,6.360000,6.360000,6.360000,6.360000,6.360000,0
2017-08-02,6.050000,6.050000,6.050000,6.050000,6.050000,300
2017-08-03,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-04,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-07,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-08,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-09,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-10,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-11,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-14,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-16,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-17,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-18,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-21,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-22,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-23,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-24,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-28,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-29,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-30,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-08-31,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-01,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-04,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-05,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-06,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-07,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-08,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-11,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-12,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-13,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-14,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-15,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-18,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-19,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-20,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-21,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-22,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-25,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-26,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-27,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-28,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-09-29,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-10-03,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-10-04,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-10-05,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-10-06,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-10-09,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-10-10,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-10-11,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-10-12,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-10-13,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-10-16,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-10-17,6.050000,6.050000,6.050000,6.050000,6.050000,0
2017-10-18,5.750000,5.750000,5.750000,5.750000,5.750000,255
2017-10-19,5.750000,5.750000,5.750000,5.750000,5.750000,0
2017-10-23,6.000000,6.000000,6.000000,6.000000,6.000000,100
2017-10-24,6.000000,6.000000,6.000000,6.000000,6.000000,0
2017-10-25,6.000000,6.000000,6.000000,6.000000,6.000000,0
2017-10-26,6.000000,6.000000,6.000000,6.000000,6.000000,25
2017-10-27,6.000000,6.000000,6.000000,6.000000,6.000000,0
2017-10-30,6.000000,6.000000,6.000000,6.000000,6.000000,10
2017-10-31,6.000000,6.000000,6.000000,6.000000,6.000000,0
2017-11-01,6.000000,6.000000,6.000000,6.000000,6.000000,0
2017-11-02,5.700000,6.000000,5.700000,6.000000,6.000000,109
2017-11-03,6.100000,6.100000,6.000000,6.000000,6.000000,570
2017-11-06,6.000000,6.000000,6.000000,6.000000,6.000000,0
2017-11-07,6.000000,6.000000,6.000000,6.000000,6.000000,0
